HDFS ItemWriter Base integration of core HDFS writer functionality with Spring Batch.,XD-1,
"Documentation on XD Architecture Documentation on XD Architecture Show overall flow of data in a stream, the server components admin and container . How modules are deployed. Show overall flow of data in a stream, the server components admin and container . How modules are deployed.",XD-135,
Remove enum for transport options The enum unnecessarily restricts the ability to add new transport MessageBus implementations whereas the config location path is open for extensions since it uses wildcards in message bus.xml import bus.xml ,XD-1350,
"Replace with Ordered Plugins This will allow us to control the order of plugins and use plugin s to manage the common module context, replacing ",XD-1351,
Switch to use Jedis driver for Redis The Spring Data team recommends using the Jedis driver since the Lettuce driver hasn t had any update activity for several months. Jedis is actively maintained. We might also want to investigate Redisson which is a fork of Lettuce ,XD-1353,
Remove XDContainer and rename Post boot refactoring. XDContainer lifecycle methods are not being used. Refactor by merging relevant functionality into Rename to consistent with ,XD-1354,
"Publish when the container shutsdown When the container shuts down, should be published so that appropriate listeners would act on. Please refer to this discussion here ",XD-1355,
"Create an embedded ZooKeeper server process This will be used by if no ZooKeeper process is available based on the provided client connect string. It will still be recommended that user s run ZooKeeper externally, at least in standalone mode, when running We should clarify that in the documentation and logs. It should implement SmartLifecycle so that it can be managed as a bean within an ApplicationContext.",XD-1359,
Documentation that points on how to install hadoop Pointers to other documentation on how to install hadoop. ,XD-136,
"Make Job notification channels subscribable Currently, the job notification channels are direct channels. We need to make these pub sub channels. With XD 885 allowing automatic job listeners registration , this would allow us to create named channel syntax like log log ",XD-1362,
"Upgrade to SHDP 2.0 M6 The YARN support in M6 changes most of the config properties, need to update XD to use new ones.",XD-1364,
Exclude s in the modules or extensions ,XD-1367,
Refactor container to remove shared module context as a separate context The main container context becomes the shared context for modules.,XD-1368,
Release Spring XD 1.0 M1 Release Spring XD 1.0 M1 ,XD-137,
Update Reactor integration to align 1.1 changes Need to update the support to reflect the changes to Reactor refactorings introduced in v1.1.,XD-1372,
Update to use spring data hadoop 2.0 M6 ,XD-1374,
Create spike of web app that maps UI design docs to MVC components in Angluar ,XD-1375,
XD Shell crashes when the stream DSL has ! The XD shell crashes when the following command issued stream create test definition http filter log It looks like the JLine ConsoleReader s expandEvents is set to true by default and this causes the issue Exception in thread Spring Shell log event not found at at at at at at at at at ,XD-1376,
"Rename node references to container This applies to a few places when addressing the issue, a search should be done to uncover any others , e.g. public static final String NODE PROFILE node ; Options classes The transport to use for data messages from node to node The transport to use for control messages between admin and nodes ",XD-1377,
Prepare blog post for M1 Prepare blog post for M1 ,XD-138,
"tcp source requires a r n to suffix all inbound data When sending data to the TCP Source if the data is not terminated with a r n when the socket is closed by the client, XD throws an exception. ",XD-1382,
"Add acceptance tests for stream with sources of TCP, HTTP, and Time and sinks of File and Log Need to be able to test the following sources TCP, HTTP, Time,",XD-1383,
